passage_ID,raw,mask_words,statement,raw_1sent,raw_3sent,raw_5sent,label,ori_statement
1,There are many other geysers and bubbling springs in the area.,the area,"There are many other geysers and bubbling springs in the park, some of which are not as predictable.",There are many other geysers and bubbling springs in the area.,Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.,"Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!",1,"There are many other geysers and bubbling springs in the park, some of which are not as predictable ."
1,"Excelsior Geyser produces 4,000 gallons of boiling water each minute!",boiling water,"Excelsior geyser produces 4,000 gallons of hot water each minute!","Excelsior Geyser produces 4,000 gallons of boiling water each minute!","Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!","There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.",1,"Excelsior geyser produces 4,000 gallons of hot water each minute !"
1,"Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that ’s very hot!",100,"The temperature of the geyser water is about 100 degrees Celsius, or 212 degrees Fahrenheit – that ’s very hot!","Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!","Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.","Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.",1,"The temperature of the geyser water is about 100 degrees Celsius , or 212 degrees Fahrenheit – that ’s very hot !"
1,Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.,the precise time that Old Faithful is going to erupt,Visitors can check a schedule to see when it will erupt next.,Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.,"Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.","During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.Great Fountain Geyser erupts every 11 hours up to a height of 67 metres.",1,Visitors can check a schedule to see when it will erupt next .
1,Visitors can see steam and water from the geysers.,the geysers,Visitors can see steam and water from Yellowstone's geysers and hot springs.,Visitors can see steam and water from the geysers.,"During the winter, visitors can ski, go snowmobiling or join tours there.Visitors can see steam and water from the geysers.During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.","More than 3 million people visit Yellowstone each year.During the winter, visitors can ski, go snowmobiling or join tours there.Visitors can see steam and water from the geysers.During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.",0,Visitors can see steam and water from Yellowstone's geysers and hot springs .
1,"Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.","Old Faithful , a very predictable geyser at Yellowstone",Most visitors want to see Old Faithful when it is erupting.,"Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.","During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.","Visitors can see steam and water from the geysers.During other seasons, visitors can go horse-riding, boating, fishing or take nature trails and tours.Most visitors want to see Old Faithful, a very predictable geyser at Yellowstone.Visitors can check a schedule to see the precise time that Old Faithful is going to erupt.There are many other geysers and bubbling springs in the area.",1,Most visitors want to see Old Faithful when it is erupting .
1,People also like to see the Grand Prismatic Spring.,the Grand Prismatic,People also like to see the steam rising from the geyser.,People also like to see the Grand Prismatic Spring.,"Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.","Excelsior Geyser produces 4,000 gallons of boiling water each minute!Boiling water is 100 degrees Celsius, or 212 degrees Fahrenheit – that's very hot!People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.",1,People also like to see the steam rising from the geyser .
1,"The grand prismatic spring has many beautiful colors, which are caused by bacteria in the water.",are caused by bacteria in the water,"The big hot spring has many beautiful colors, which can be seen in the water.","It has many beautiful colors, which are caused by bacteria in the water.","It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.","People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.",1,"The big hot spring has many beautiful colors , which can be seen in the water ."
1,"The grand prismatic spring has many beautiful colors, which are caused by bacteria in the water.",by bacteria in the water,"The big hot spring has many beautiful colors, which are caused by different bacteria.","It has many beautiful colors, which are caused by bacteria in the water.","It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.","People also like to see the Grand Prismatic Spring.It is the largest hot spring in the park.It has many beautiful colors, which are caused by bacteria in the water.These are forms of life that have only one cell.Different bacteria live in different water temperatures.",1,"The big hot spring has many beautiful colors , which are caused by different bacteria ."
2,Sebastian 's father worked as a foreman at a construction site.,a construction site,Sebastian worked under the hot sun or in heavy rain when the weather was bad.,My father worked as a foreman at a construction site.,Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.,What my father said was very true.Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.,0,Sebastian worked under the hot sun or in heavy rain when the weather was bad .
2,We huddled around him and waited anxiously for what seemed to be good news.,what seemed to be good news,We huddled around him and waited anxiously for him to tell us what he was going to show us.,We huddled around him and waited anxiously for what seemed to be good news.,"shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.","""Mom, Dad, come see what I've to show you!shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.We were overjoyed.",1,We huddled around him and waited anxiously for him to tell us what he was going to show us .
2,"Even Sebastian 's father, who looked stern most of the time, hugged Tim.",looked stern most of the time,"Even Sebastian ’s father, who had never seen his son smile before, hugged Tim.","Even my father, who looked stern most of the time, hugged Tim.","My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.","We were overjoyed.My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.-1",0,"Even Sebastian ’s father , who had never seen his son smile before , hugged Tim ."
2,We huddled around him and waited anxiously for what seemed to be good news.,seemed to be good news,We huddled around him and waited anxiously for what he was going to show us.,We huddled around him and waited anxiously for what seemed to be good news.,"shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.","""Mom, Dad, come see what I've to show you!shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.We were overjoyed.",1,We huddled around him and waited anxiously for what he was going to show us .
2,He looked over the moon.,the moon,"He looked over his shoulder at his parents and shouted, “ Mom, Dad, come see what I ’ ve to show you!",He looked over the moon.,"In his hands was a letter which he waved wildly.He looked over the moon.""Mom, Dad, come see what I've to show you!","I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.He looked over the moon.""Mom, Dad, come see what I've to show you!shouted Tim.",0,"He looked over his shoulder at his parents and shouted, “ Mom , Dad , come see what I ’ ve to show you !"
2,What Sebastian 's father said was very true.,Sebastian 's father,Sebastian ’s mother was a housewife and his father worked as a foreman at a construction site.,What my father said was very true.,"""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.Life was hard for us.","""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.Life was hard for us.My father worked as a foreman at a construction site.",0,Sebastian ’s mother was a housewife and his father worked as a foreman at a construction site .
2,"Even Sebastian 's father, who looked stern most of the time, hugged Tim.","Even Sebastian 's father , who looked stern most of the time ,",Sebastian's parents were so happy.,"Even my father, who looked stern most of the time, hugged Tim.","My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.","We were overjoyed.My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.-1",1,Sebastian 's parents were so happy .
2,He looked over the moon.,over the moon,He looked at Sebastian and then at his mother and father.,He looked over the moon.,"In his hands was a letter which he waved wildly.He looked over the moon.""Mom, Dad, come see what I've to show you!","I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.He looked over the moon.""Mom, Dad, come see what I've to show you!shouted Tim.",0,He looked at Sebastian and then at his mother and father .
2,What Sebastian 's father said was very true.,Sebastian 's father said,"Sebastian "" s father worked as a foreman at a construction site.",What my father said was very true.,"""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.Life was hard for us.","""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.Life was hard for us.My father worked as a foreman at a construction site.",1,"Sebastian ""s father worked as a foreman at a construction site ."
2,We were so proud of Sebastian 's brother.,Sebastian 's brother,We were so proud of Tim and his family.,We were so proud of my brother.,"Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.-1","My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.-1-1",0,We were so proud of Tim and his family .
2,"Sebastian 's mother was so happy, tears rolled down mom 's cheeks.",mom 's cheeks,"Sebastian's mother was so happy, tears rolled down her cheeks and she hugged Tim.","My mother was so happy, tears rolled down her cheeks.","We were overjoyed.My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.","""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.We were overjoyed.My mother was so happy, tears rolled down her cheeks.Even my father, who looked stern most of the time, hugged Tim.We were so proud of my brother.",0,"Sebastian 's mother was so happy , tears rolled down her cheeks and she hugged Tim ."
2,Tim should be coming home soon.,be coming home soon,Tim should be here any minute now.,"""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.","""Mom, the lobster is delicious,"" I said.""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.","""Mom, the lobster is delicious,"" I said.""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.",1,Tim should be here any minute now .
2,We huddled around him and waited anxiously for what seemed to be good news.,to be good news,We huddled around him and waited anxiously for what seemed like an eternity for him to tell us what he had to show us.,We huddled around him and waited anxiously for what seemed to be good news.,"shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.","""Mom, Dad, come see what I've to show you!shouted Tim.We huddled around him and waited anxiously for what seemed to be good news.""I've got a scholarship to study in St Peter's college. The two-year tuition fees are fully paid for, plus they are giving me $3000 for books and stationery,"" rattled Tim in one breath.We were overjoyed.",0,We huddled around him and waited anxiously for what seemed like an eternity for him to tell us what he had to show us.
2,Sebastian had to work under the hot sun or in heavy rain when the weather was bad.,the weather was bad,Sebastian had to work under the hot sun or in heavy rain when his father wasn't looking.,He had to work under the hot sun or in heavy rain when the weather was bad.,He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.The doorbell rang.,"My father worked as a foreman at a construction site.He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.The doorbell rang.I opened the door and my younger brother, Tim, charged in excitedly.",0,Sebastian had to work under the hot sun or in heavy rain when his father wasn't looking .
2,In Tim 's hands was a letter which he waved wildly.,he waved wildly,Was a letter which he had written to his mother and father.,In his hands was a letter which he waved wildly.,"I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.He looked over the moon.","The doorbell rang.I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.He looked over the moon.""Mom, Dad, come see what I've to show you!",0,In Tim 's hands was a letter which he had written to his mother and father .
2,"Sebastian opened the door and Sebastian 's younger brother, Tim, charged in excitedly.","the door and Sebastian 's younger brother , Tim , charged in excitedly",Sebastian opened the door to find Tim standing there.,"I opened the door and my younger brother, Tim, charged in excitedly.","The doorbell rang.I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.","He had to work under the hot sun or in heavy rain when the weather was bad.The doorbell rang.I opened the door and my younger brother, Tim, charged in excitedly.In his hands was a letter which he waved wildly.He looked over the moon.",1,Sebastian opened the door to find Tim standing there .
2,Sebastian had to work under the hot sun or in heavy rain when the weather was bad.,the hot sun,Sebastian had to work under the hot sun when the sun was shining or in heavy rain when the weather was bad.,He had to work under the hot sun or in heavy rain when the weather was bad.,He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.The doorbell rang.,"My father worked as a foreman at a construction site.He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.The doorbell rang.I opened the door and my younger brother, Tim, charged in excitedly.",0,Sebastian had to work under the hot sun when the sun was shining or in heavy rain when the weather was bad .
2,Lobsters are a rare treat for our family.,our family,"Lobsters are a rare treat for us, and we have never had them before.","""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.","""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.","""Mom, the lobster is delicious,"" I said.""Save some for your brother. He should be coming home soon. It's already  half past seven,"" said my mother.""Yes, Sebastian, listen to your mother. Lobsters are a rare treat for our family. My boss has been very kind in giving us this treat,"" added my father.What my father said was very true.Life was hard for us.",0,"Lobsters are a rare treat for us , and we have never had them before ."
2,Sebastian 's father worked as a foreman at a construction site.,as a foreman,"Sebastian "" s father worked all the time at a construction site.",My father worked as a foreman at a construction site.,Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.,What my father said was very true.Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.,0,"Sebastian ""s father worked all the time at a construction site ."
2,Sebastian 's father worked as a foreman at a construction site.,a foreman,"Sebastian "" s father worked as a carpenter and his mother worked at a construction site.",My father worked as a foreman at a construction site.,Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.,What my father said was very true.Life was hard for us.My father worked as a foreman at a construction site.He was paid only when he went to work.He had to work under the hot sun or in heavy rain when the weather was bad.,0,"Sebastian ""s father worked as a carpenter and his mother worked at a construction site ."
3,Trees and plants grew there before the land drifted towards the frozen south pole.,the land drifted towards the frozen south pole,"Trees and plants grew there before the Ice Age, when the continent was covered in ice.",Trees and plants grew there before the land drifted towards the frozen south pole.,"Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.","Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.",0,"Trees and plants grew there before the Ice Age , when the continent was covered in ice ."
3,We hope thousands do not spoil this beautiful part of the world.,thousands do not spoil this beautiful part of the world,We hope that you will join us for a visit.,We hope they do not spoil this beautiful part of the world.,"Each year, thousands of tourists visit the warmer parts in planes or ships.We hope they do not spoil this beautiful part of the world.-1","Only scientists and other workers live in this huge area of land.Each year, thousands of tourists visit the warmer parts in planes or ships.We hope they do not spoil this beautiful part of the world.-1-1",0,We hope that you will join us for a visit .
3,Trees and plants grew there before the land drifted towards the frozen south pole.,Trees and plants,"In fact, some of the world ’s oldest plants and animals grew there before the land drifted towards the frozen south pole.",Trees and plants grew there before the land drifted towards the frozen south pole.,"Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.","Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.",1,"In fact, some of the world’s oldest plants and animals grew there before the land drifted towards the frozen south pole ."
3,"Now, Antarctica is the world ’s windiest and coldest region, with ice 5 kilometres thick in parts.",ice 5 kilometres thick in parts,"Antarctica is the world ’s windiest and coldest region, with wind speeds of up to 100 km/h.","Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.","Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.","Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.Thousands of large seals and penguins feed in the oceans around Antarctica and there is no land life on the continent.",0,"Now , Antarctica is the world ’s windiest and coldest region , with wind speeds of up to 100 km / h ."
3,Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.,plants and ancient dinosaurs found in Antarctica,Fossils of plants and animals found in Antarctica ’s south pole show the continent once had a warm climate.,Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.,Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.,"Fossils of plants and ancient dinosaurs found in Antarctica show the continent once had a warm climate.Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.",0,Fossils of plants and animals found in Antarctica’s south pole show the continent once had a warm climate .
3,"Some recorded wind speeds are over 300 km/h, stronger than most cyclones.",most cyclones,"Some recorded wind speeds are over 300 km/h, stronger than the strongest winds in the world.","Some recorded wind speeds are over 300km/h, stronger than most cyclones.","Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.Thousands of large seals and penguins feed in the oceans around Antarctica and there is no land life on the continent.","Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.Thousands of large seals and penguins feed in the oceans around Antarctica and there is no land life on the continent.We can see only tiny insects and not one green tree.",0,"Some recorded wind speeds are over 300 km / h , stronger than the strongest winds in the world ."
3,"Some recorded wind speeds are over 300 km/h, stronger than most cyclones.",300 km / h,"Some recorded wind speeds are over 100 kilometres per hour, stronger than most cyclones.","Some recorded wind speeds are over 300km/h, stronger than most cyclones.","Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.Thousands of large seals and penguins feed in the oceans around Antarctica and there is no land life on the continent.","Trees and plants grew there before the land drifted towards the frozen south pole.Now, Antarctica is the world's windiest and coldest region, with ice 5 kilometres thick in parts.Some recorded wind speeds are over 300km/h, stronger than most cyclones.Thousands of large seals and penguins feed in the oceans around Antarctica and there is no land life on the continent.We can see only tiny insects and not one green tree.",1,"Some recorded wind speeds are over 100 kilometres per hour , stronger than most cyclones ."
